.04602 0.93481 -2.84733 0.71756 -0.06107 
0.01660 0.04297 0.93701 -2.90840 0.61069 -0.07634 
0.01709 0.04285 0.93774 -2.82443 0.71756 -0.07634 
0.01660 0.04199 0.93640 -2.88550 0.70992 -0.08397 
0.01636 0.04297 0.93628 -2.90076 0.67939 -0.09924 
0.01782 0.04126 0.93799 -2.84733 0.72519 -0.01527 
0.01770 0.04590 0.93774 -2.90840 0.70229 -0.05344 
0.01697 0.04504 0.93823 -2.88550 0.68702 -0.06107 
0.01819 0.04358 0.94153 -2.83969 0.64122 -0.07634 
0.01880 0.04407 0.93958 -2.87023 0.66412 -0.09924 
0.01709 0.04419 0.93518 -2.83969 0.67176 -0.13740 
0.01855 0.04089 0.93884 -2.93130 0.71756 -0.06107 
0.01721 0.04199 0.93677 -2.85496 0.67176 -0.05344 
0.01794 0.04663 0.93811 -2.92366 0.69466 -0.01527 
0.01514 0.04602 0.94031 -2.87786 0.63359 -0.03817 
0.01733 0.04517 0.93677 -2.87786 0.77863 -0.04580 
0.01685 0.04358 0.93848 -2.89313 0.67939 -0.05344 
0.01929 0.04114 0.93494 -2.86260 0.72519 -0.04580 
0.01978 0.04358 0.93848 -2.87786 0.67939 -0.06107 
0.01831 0.04187 0.93616 -2.78626 0.65649 -0.02290 
0.01550 0.04077 0.93799 -2.86260 0.63359 -0.02290 
0.01855 0.04211 0.93616 -2.92366 0.69466 -0.04580 
0.01733 0.04224 0.93616 -2.87786 0.65649 -0.03817 
0.01819 0.04285 0.93567 -2.85496 0.69466 -0.06107 
0.01611 0.04590 0.94006 -2.93893 0.70229 -0.03053 
0.01404 0.04712 0.93933 -2.88550 0.65649 -0.06870 
0.01624 0.04468 0.93848 -2.80916 0.64122 -0.11450 
0.01477 0.04138 0.93713 -2.83206 0.75573 -0.05344 
0.02026 0.04041 0.93640 -2.87786 0.74046 -0.07634 
0.01807 0.04236 0.93738 -2.84733 0.78626 -0.03817 
0.01770 0.04675 0.93494 -2.87023 0.67176 -0.03817 
0.01855 0.04626 0.93713 -2.78626 0.68702 -0.10687 
0.01514 0.04639 0.93530 -2.87023 0.73282 -0.00763 
0.01587 0.04773 0.93933 -2.93893 0.74046 -0.12214 
0.01477 0.04309 0.93872 -2.82443 0.70229 -0.03817 
